message,actual_intent,predicted_intent
"@AmazonHelp So basically, I just want an email address or a postal address that I can submit a formal complaint to, please.",other,other
"@AmazonHelp I am yes, i have accepted and replied to the message you sent 👍🏻",other,other
@AmazonHelp Can someone from customer service contact me or give me a number to call back please,other,other
@AmazonHelp No if you want to help I gave you all details help here so that public can know how helpful you are or public will come to know that u r cheaters I don't have any prblm if my details are shared,other,other
"@AmazonHelp says 📦 delivery attempted, but I've been sitting here -- no knock! Will they try again b4 9p?",delivery_shipping,delivery_shipping
@AmazonHelp Sem Problemas!,other,other
Major @AmazonHelp #Fail. Super Mario Odyssey didn't arrive on Friday.  Package has a big Saturday sticker on it. Finally arrived on Monday. https://t.co/RwZnwCeIky,delivery_shipping,delivery_shipping
@AmazonHelp What is this?? Order still not delivered for yours kind information. https://t.co/0FzpuBfguN,delivery_shipping,delivery_shipping
What do I do if I need to return an item @AmazonHelp but I don't have a printer &amp; their no drop off places by me 🤔,refund_return,refund_return
@AmazonHelp Not able to access the link can you DM me a number.,other,other
"@AmazonHelp why is my amazon fire tv not doing anything??? just installed recent updates and all I get is ""loading home""",product_help,product_help
@AmazonHelp That’s not very helpful. I’ve already done that. And googled it 😂,other,other
"@AmazonHelp Made a purchase at the same time for 2 items Mon. Notified 1 was shipped, went to track the other and it said “this was cancelled”. However, i didn’t cancel it. I received a confirmation that it went through and it gave me est arrival da",order_issue,order_issue
@AmazonHelp No..I've followed all instruction...router off etc... still stuck in reboot cycle,product_help,product_help
@AmazonHelp would like for you to help.,other,other
"@AmazonHelp None of those solutions worked, unfortunately. And now none of the Prime movies have video. I can get audio/video with other apps, though (Netflix, Hulu).",prime_issue,prime_issue
@AmazonHelp Just went through to the account dunno what you want me to do here tbf,other,other
.@12339 sends back package to @115850 while in transit saying customer refused delivery! Its still 90km away from destination city! #ridiculous @115821 @AmazonHelp https://t.co/VOLLprvLa5,delivery_shipping,delivery_shipping
@AmazonHelp Thank you. Comment now submitted.,other,other
i order from @115850 because of Prime they will gv me quick delivery. bt its frustating nw @AmazonHelp Order # 406-5245970-3169157,prime_issue,delivery_shipping
@AmazonHelp ギフト券使ってないんてますけど、支払いってギフト券でしか払えないんですか？,account_payment,account_payment
@AmazonHelp What is the reason of blocking my number. @115850 @amazonHelp,account_payment,account_payment
"@AmazonHelp How much time you guys need to solve my case.. I think you are playing with my emotions...
@13142",other,other
@AmazonHelp 今度は普通に届きました！ありがとうございます。,other,other
@AmazonHelp Our home screen won't load,product_help,product_help
"@AmazonHelp Don't worry about it, I really can't be bothered. It's a *recurring*, clearly systemic issue...",other,other
@AmazonHelp Original estimate was the 23rf https://t.co/ppGE077LuL,delivery_shipping,delivery_shipping
@AmazonHelp What do I do in the event that your carrier has marked a package as being delivered and the package is no where to be found?,delivery_shipping,delivery_shipping
"@AmazonHelp Mhm I haven’t received an email yet, but if I’m not mistaken if the payment was taken out of my account does that mean it’s in the shipping process or has shipped already ?",order_issue,delivery_shipping
"@AmazonHelp 
Really I cant find a customer service link anywhere on your site,  then i stumble across this gem?  Never got my shipping label to send a @117634 device back to you guys.  

PS. Not buying the book https://t.co/5ojiIhwViH",refund_return,refund_return
