tweet_id,text,response_tweet_id,intent
1138363,@AmazonHelp But when I click on the order it says expected Nov 2-3. How is it out for delivery if the expected date is extended by two days?,,delivery_shipping
881082,"@AmazonHelp This issue not resolved, now it's showing return window closed, I want to return the product, not getting any response plz resolve","8,81,08,48,81,085",refund_return
1438542,@AmazonHelp Yes but it doesn't say why the date was moved,1438544,delivery_shipping
2953667,Pls help @AmazonHelp,2953666,other
1190178,"@AmazonHelp I ordered one device and gifted it to my friend, I have to buy one for me so I requested another invitation. it's now about a month. I didn't get any notification specifying that you are eligible to buy it or not.",1190180,order_issue
2670761,@AmazonHelp I had promised other person only because of your trust that I will give that product to him in that price but I am shocked to see the way you cheat me,2670763,order_issue
427780,@AmazonHelp I already filled details,427781,other
232438,@AmazonHelp 参考価格は価格の上に表記してくれませんか？ https://t.co/IugC1btqzZ,232437,other
2418365,@AmazonHelp Yes,2418367,other
2758621,"@AmazonHelp I still haven’t gotten my money or my account back, should I be concerned?",2758623,account_payment
2680867,@AmazonHelp Still no word from your team ..,,other
2772370,@AmazonHelp Sem Problemas!,,other
1710380,@AmazonHelp I also checked with many location Delhi Kolkata Bangalore none is working,,other
2878692,@AmazonHelp @798981 Really no cost emi not available then why you people send fake sms and we were wasting our time in checking it. This isn't you Amazon @115850 @AmazonHelp https://t.co/EthbQ4pAJI,"2,87,86,93,28,78,694",account_payment
832702,"@AmazonHelp How much time you guys need to solve my case.. I think you are playing with my emotions...
@13142","8,32,70,38,32,704",other
2760849,@AmazonHelp ギフト券使ってないんてますけど、支払いってギフト券でしか払えないんですか？,"2,76,08,51,27,60,852",account_payment
757148,@AmazonHelp En eso ando 😁,757150,other
1474043,@AmazonHelp Yes. A ridiculous offer. If I order a product 4 months in advance I clearly want it. You are at fault for not fulfilling the order.,1474044,order_issue
2391882,@AmazonHelp こちらこそです🐤またよろしくお願いします🎾,2391883,other
689248,"@AmazonHelp Shes starving, shes had her money stolen, support staff refuse to run the fax number, told to wait 5-7 days in the dark, is this your business plan to rob every vunerable person you can? 5 times ive called support and each time im give a run a",689246,account_payment
1562316,How much time Will you take to solve my issues...? After complaining lots of time you finally called me..@AmazonHelp @115850 @115851,1562315,other
671751,@AmazonHelp Thank you ☺️,671750,other
1159277,"@AmazonHelp 
Really I cant find a customer service link anywhere on your site,  then i stumble across this gem?  Never got my shipping label to send a @117634 device back to you guys.  

PS. Not buying the book https://t.co/5ojiIhwViH",1159276,refund_return
2889361,@AmazonHelp Thank you very much.We look forward to get Kannada language programs.,,other
1748132,"@AmazonHelp Thanks, TM. I've asked the question and waiting for a reply.",1748134,other
1380936,@AmazonHelp would like for you to help.,1380939,other
453197,@AmazonHelp Thank you - they took good care of me.  Faith restored! :),453199,other
1428933,@AmazonHelp The same reason was given to me previously also but I had to wait for more 4 days and after that they told to take refund product is lost,"1,42,89,34,14,28,935",refund_return
1552163,@AmazonHelp I was just notified that my package was lost in shipping. How Can I get a refund for my order?,1552162,refund_return
2932780,"J’attends un colis qui est censé arriver aujourd’hui d’après Amazon, sauf que sur leur site y’a marqué « En Transit » depuis Samedi..... @AmazonHelp",2932779,delivery_shipping
363301,@AmazonHelp So it won't work here? https://t.co/Vm4vYFgGz7,,other
1129830,"@AmazonHelp Hice un pedido la última vez y me lo cancelaron, he vuelto a realizarlo y quería saber si está todo en orden","1,12,98,28,11,29,838",order_issue
656080,@AmazonHelp Just deliver what I ordered when you promised. Stop lying about delivery. 3 emails. 3 no shows since Sunday and another today. Why should I pay 4 prime?,656079,delivery_shipping
238295,@AmazonHelp My parcel (delivered by Amazon delivery) was ripped and opened. Fort. wasn't confidential or a gift for partner but not ideal!,238293,product_help
1897692,"Received the refund.. Appreciate ur prompt action.. Thank you #AmazonIndia, @AmazonHelp",2103588,other
1261169,"@AmazonHelp Ordered a laptop worth ₹23,000 &amp; got a bed sheet attached with laptop bill instead on delievery. Shopping has never been this much harder !",,delivery_shipping
1522543,@AmazonHelp That’s ok for this time. Next time I order multiple items I can select all at once?,1522541,order_issue
524880,"@AmazonHelp LMAO! Yet another @115821 Prime shipment due today didn't show up. This is absolutely comical. I can't believe how efficient @115821 has become at disappointing me, and yet has me pay for the pleasure.",524879,delivery_shipping
2424630,"@AmazonHelp why is my amazon fire tv not doing anything??? just installed recent updates and all I get is ""loading home""",2424654,product_help
1298933,@AmazonHelp Which had nothing to do with anything. She ended nutty email by saying Amazon would no longer respond to me on this matter.,"1,29,89,34,12,98,935",other
600379,@AmazonHelp Yep. Said it's not your problem,,other
313441,@AmazonHelp Your email of 7th Oct asked me to wait for 24-48 hours for next update. So checking with you now...,313442,other
1037191,@AmazonHelp No. Just been told to go out of our way (nearest post office is actually quite a bit away) to return it for a refund. All she wanted was the baskets to actually be delivered,,refund_return
2562086,@AmazonHelp wanted to say what a load of crap the person was couldn't wait yo get shot of me,2562085,other
2147964,@AmazonHelp Just dealing with same day delivery rapidly becoming next day because my package wasn't left as expected.,2147962,delivery_shipping
637317,"@AmazonHelp So just to be clear, (because this was a lot of money for me) if I open it and the tablet was damaged I can return for a replacement?",637316,refund_return
894619,@AmazonHelp Ok I've just had a refund through after following up! Thanks!,,refund_return
