customer_tweet_id,customer_message,amazon_reply,intent
1049400,@AmazonHelp  https://t.co/QjdID0q6al,@368025 as we consider it to be personal information. Our Twitter page is visible to the public. 3/3 ^AP,other
934403,"@AmazonHelp I saw it, Tell me how can I get back my extra money, bacause u sell me more than item M.R.P","@341650 That's unusual, Vinod. Request you to report this to our support team here: https://t.co/vlvfJr4nN9 and we will check this. ^NK",refund_return
1616791,@AmazonHelp d'accord et si je precommande SWBF2 je doit payer la livraison ?,@215713 Tout dépend du mode de livraison choisi ^SN,order_issue
1196334,@AmazonHelp I bought a fire stick and your remote broke. please help,@401091 Oh no! Can you tell us a little more about the issue Sebastian? ^BA,product_help
2403835,@AmazonHelp No if you want to help I gave you all details help here so that public can know how helpful you are or public will come to know that u r cheaters I don't have any prblm if my details are shared,"@691488 We can't access your account details over Twitter. Kindly share the details over the secure link shared. Once done, we'll gain access to view the account to investigate. ^CB",other
1221775,@AmazonHelp Our home screen won't load,@406689 Oh no! Is it showing a specific error when it won't load the home screen? Please be sure to let us know! ^TG,product_help
440066,@AmazonHelp Where is my cheque? https://t.co/XBBjPnwDm2,@219445 Once we receive the details and we will get back to you with an update at the earliest. (2/2)^HR,account_payment
1299347,@AmazonHelp Can’t as my account is now closed and does not exist,@423678 Do you have the option to 'Skip Sign In'? ^NV,other
462560,@AmazonHelp Thank you for your response! It was through USPS,@224933 When you have time give us a call. We're available 24/7 here: https://t.co/hApLpMlfHN. We can make sure this is reported and look into options for the late order. ^EP,delivery_shipping
1118655,i order from @115850 because of Prime they will gv me quick delivery. bt its frustating nw @AmazonHelp Order # 406-5245970-3169157,"@383101 Please don't provide your order details, as we consider them to be personal info. Our page is visible to the public. (2/2) ^GK",prime_issue
2286555,@AmazonHelp What do I do in the event that your carrier has marked a package as being delivered and the package is no where to be found?,"@664400 Hello, Adam. Who is the carrier for this order?  You can find that information here:  https://t.co/Y5jpI9gRhE.  ^LM",delivery_shipping
77594," Thats why you're not leading.. bcoz you not paying for your fault.. 

you just leaving customers at their end &amp; be yourself remain in comfort zone..

My Pay Balance amount transfer in my bank account.

You are earning i terest on my money s","@133290 As informed earlier, we do not have compensation plans for such instance and we'll forward this feedback internally for improvements. ^SU",account_payment
