customer_tweet_id,customer_message,amazon_reply,intent,tweet_id,text,response_tweet_id
1049400.0,@AmazonHelp  https://t.co/QjdID0q6al,@368025 as we consider it to be personal information. Our Twitter page is visible to the public. 3/3 ^AP,other,,,
934403.0,"@AmazonHelp I saw it, Tell me how can I get back my extra money, bacause u sell me more than item M.R.P","@341650 That's unusual, Vinod. Request you to report this to our support team here: https://t.co/vlvfJr4nN9 and we will check this. ^NK",refund_return,,,
1616791.0,@AmazonHelp d'accord et si je precommande SWBF2 je doit payer la livraison ?,@215713 Tout dépend du mode de livraison choisi ^SN,order_issue,,,
1196334.0,@AmazonHelp I bought a fire stick and your remote broke. please help,@401091 Oh no! Can you tell us a little more about the issue Sebastian? ^BA,product_help,,,
2403835.0,@AmazonHelp No if you want to help I gave you all details help here so that public can know how helpful you are or public will come to know that u r cheaters I don't have any prblm if my details are shared,"@691488 We can't access your account details over Twitter. Kindly share the details over the secure link shared. Once done, we'll gain access to view the account to investigate. ^CB",other,,,
1221775.0,@AmazonHelp Our home screen won't load,@406689 Oh no! Is it showing a specific error when it won't load the home screen? Please be sure to let us know! ^TG,product_help,,,
440066.0,@AmazonHelp Where is my cheque? https://t.co/XBBjPnwDm2,@219445 Once we receive the details and we will get back to you with an update at the earliest. (2/2)^HR,account_payment,,,
1299347.0,@AmazonHelp Can’t as my account is now closed and does not exist,@423678 Do you have the option to 'Skip Sign In'? ^NV,other,,,
462560.0,@AmazonHelp Thank you for your response! It was through USPS,@224933 When you have time give us a call. We're available 24/7 here: https://t.co/hApLpMlfHN. We can make sure this is reported and look into options for the late order. ^EP,delivery_shipping,,,
1118655.0,i order from @115850 because of Prime they will gv me quick delivery. bt its frustating nw @AmazonHelp Order # 406-5245970-3169157,"@383101 Please don't provide your order details, as we consider them to be personal info. Our page is visible to the public. (2/2) ^GK",prime_issue,,,
2286555.0,@AmazonHelp What do I do in the event that your carrier has marked a package as being delivered and the package is no where to be found?,"@664400 Hello, Adam. Who is the carrier for this order?  You can find that information here:  https://t.co/Y5jpI9gRhE.  ^LM",delivery_shipping,,,
77594.0," Thats why you're not leading.. bcoz you not paying for your fault.. 

you just leaving customers at their end &amp; be yourself remain in comfort zone..

My Pay Balance amount transfer in my bank account.

You are earning i terest on my money s","@133290 As informed earlier, we do not have compensation plans for such instance and we'll forward this feedback internally for improvements. ^SU",account_payment,,,
2626391.0,Major @AmazonHelp #Fail. Super Mario Odyssey didn't arrive on Friday.  Package has a big Saturday sticker on it. Finally arrived on Monday. https://t.co/RwZnwCeIky,"@439294 I'm sorry for the late delivery! To escalate your carrier feedback, please contact us here: https://t.co/hApLpMlfHN ^EA",delivery_shipping,,,
989145.0,@AmazonHelp könnt ihr mir mal wieder helfen ? Mein Paket sollte zwischen den 10.-13. kommen ist aber nicht da. Warum ?,@158378 Was sagt denn die Sendungsverfolgung? Noch unterwegs oder bereits zugestellt? Viele Grüße ^TR,delivery_shipping,,,
2580520.0,@AmazonHelp I've got Amazon Prime in Canada but Amazon music app (Android) won't recognize it - help?,@731406 I'm sorry for the trouble while using the app. Have you tried reinstalling it? I also recommend logging out and back in to the app to ensure you're using the correct account. ^RA,prime_issue,,,
227049.0,@AmazonHelp Why should you asking this bullish #Amazon All details I have shared now act for process @144148 @20542 @115821 @115850 https://t.co/5oCoUMi5q4,@158923 I just checked and we haven't received the details yet. Request you to share your details in the link provided earlier. ^GK,other,,,
2267127.0,@AmazonHelp @115821 HELP! You delivered the wrong product to me yesterday and need the correct product now,@613974 Oh no! Have you had a chance to checkout available options here: https://t.co/moO8C4Xpsb We'd love to help with this! ^ML,product_help,,,
2276508.0,Dear @115850 i did load cash to my Amazon pay before .... Now came to know about cash load at door step .... will i get 20% cashback again if I load cash at door step ? @AmazonHelp,"@464610 Could you please help us with additional details or link of the cashback you're referring to, so that we can assist you accordingly? ^MO",account_payment,,,
522448.0,@AmazonHelp i have a fire tv stick. i want to keep track of current and total space on it. wheres that feature at?,"@213865 Thanks for that clarification! You can view this under settings, through applications. ^HM",product_help,,,
2621037.0,"@AmazonHelp Non aucune demande particulière, je complimentais votre efficacité ;)",@740589 Ravie d'apprendre que vous êtes bien satisfait de notre service😍.^FT,other,,,
1666550.0,@AmazonHelp Sent you a DM please check.,@507687 Thanks for the heads up. You'll receive a response soon. ^AS,other,,,
440306.0,@AmazonHelp What is the reason of blocking my number. @115850 @amazonHelp,"@219482 Please reply to the email you received, we'll get back to you soon. ^PS",account_payment,,,
505748.0,"@AmazonHelp None of those solutions worked, unfortunately. And now none of the Prime movies have video. I can get audio/video with other apps, though (Netflix, Hulu).",@236014 Let's troubleshoot this in real time. Please call or chat with us here: https://t.co/hApLpMlfHN ^BA,prime_issue,,,
2663270.0,@AmazonHelp hi. I’ve had a parcel left somewhere local for collection but cannot see the exact location. Can you help please?,@750538 We'll be happy to look into that for you. Please reach out to us here: https://t.co/JzP7hlA23B ^RS,delivery_shipping,,,
2893073.0,Yo @AmazonHelp how do I report hack if cant sign in,@172665 You can contact us without signing in using this link: https://t.co/pQ5tKC3tZ4 ^LI,account_payment,,,
142857.0,@AmazonHelp Not able to access the link can you DM me a number.,"@148248 I've enabled DMing for your profile, please DM us first so we can provide the contact info. ^MJ https://t.co/1XyLaGkcaN",other,,,
709963.0,@AmazonHelp That’s not very helpful. I’ve already done that. And googled it 😂,@289766 We;re still here for you! Please reach out to us by phone or chat to go through this together: https://t.co/JzP7hlA23B ^KJ,other,,,
1127310.0,"@AmazonHelp I am yes, i have accepted and replied to the message you sent 👍🏻",@385784 We'll send an e-mail once we receive the order &amp; process your refund. Keep us posted &amp; let us know if we can still help! ^KN,other,,,
1436679.0,"@AmazonHelp Très bien, merci !",@453310 Je vous en prie. Nous restons à votre disposition en cas de besoin. ^SB,other,,,
323357.0,@AmazonHelp I have shared details in email to Amazon Help..,@193001 You can check the correspondences to your registered email ID here: https://t.co/8DAc10S7ww. Keep an eye for a response.^RS,other,,,
