customer_tweet_id,customer_message,amazon_reply,intent,tweet_id,text,response_tweet_id
,,,other,671751.0,@AmazonHelp Thank you ☺️,671750
,,,other,1223197.0,@407008 @AmazonHelp  https://t.co/gt7dxdDvVl,
,,,delivery_shipping,2261693.0,@AmazonHelp Oui. Et ils me répètent que le colis sera livré demain. Sauf que demain c’est trop tard.,2261694
,,,other,1562316.0,How much time Will you take to solve my issues...? After complaining lots of time you finally called me..@AmazonHelp @115850 @115851,1562315
,,,other,1897692.0,"Received the refund.. Appreciate ur prompt action.. Thank you #AmazonIndia, @AmazonHelp",2103588
2267127.0,@AmazonHelp @115821 HELP! You delivered the wrong product to me yesterday and need the correct product now,@613974 Oh no! Have you had a chance to checkout available options here: https://t.co/moO8C4Xpsb We'd love to help with this! ^ML,product_help,,,
,,,delivery_shipping,2932780.0,"J’attends un colis qui est censé arriver aujourd’hui d’après Amazon, sauf que sur leur site y’a marqué « En Transit » depuis Samedi..... @AmazonHelp",2932779
989145.0,@AmazonHelp könnt ihr mir mal wieder helfen ? Mein Paket sollte zwischen den 10.-13. kommen ist aber nicht da. Warum ?,@158378 Was sagt denn die Sendungsverfolgung? Noch unterwegs oder bereits zugestellt? Viele Grüße ^TR,delivery_shipping,,,
2663270.0,@AmazonHelp hi. I’ve had a parcel left somewhere local for collection but cannot see the exact location. Can you help please?,@750538 We'll be happy to look into that for you. Please reach out to us here: https://t.co/JzP7hlA23B ^RS,delivery_shipping,,,
,,,product_help,2571320.0,"Hey, @AmazonHelp, a way to get your Flash Briefing played on several Alexa devices at once so it follows me from bathroom to kitchen? Thx!",2571318
,,,other,2725911.0,"@AmazonHelp after speaking with 3 customer service agents, the last lady was helpful and my issue was resolved. Thank you for following up",2725913
,,,order_issue,1129830.0,"@AmazonHelp Hice un pedido la última vez y me lo cancelaron, he vuelto a realizarlo y quería saber si está todo en orden","1,12,98,28,11,29,838"
,,,account_payment,2878692.0,@AmazonHelp @798981 Really no cost emi not available then why you people send fake sms and we were wasting our time in checking it. This isn't you Amazon @115850 @AmazonHelp https://t.co/EthbQ4pAJI,"2,87,86,93,28,78,694"
,,,other,2718043.0,@AmazonHelp yes,2718045
1299347.0,@AmazonHelp Can’t as my account is now closed and does not exist,@423678 Do you have the option to 'Skip Sign In'? ^NV,other,,,
,,,product_help,238295.0,@AmazonHelp My parcel (delivered by Amazon delivery) was ripped and opened. Fort. wasn't confidential or a gift for partner but not ideal!,238293
77594.0," Thats why you're not leading.. bcoz you not paying for your fault.. 

you just leaving customers at their end &amp; be yourself remain in comfort zone..

My Pay Balance amount transfer in my bank account.

You are earning i terest on my money s","@133290 As informed earlier, we do not have compensation plans for such instance and we'll forward this feedback internally for improvements. ^SU",account_payment,,,
780871.0,@AmazonHelp Already done. All I get is an e-mail mentioning refund of previous order. I think the priority should be to deliver the promised product😒😒,@306432 We've received your details &amp; our team is currently working on it. You should be receiving an update anytime soon. ^EM,delivery_shipping,,,
,,,product_help,318028.0,"@AmazonHelp Thanks, but doesn't help if you wish to watch or download new movies :-(",
1049400.0,@AmazonHelp  https://t.co/QjdID0q6al,@368025 as we consider it to be personal information. Our Twitter page is visible to the public. 3/3 ^AP,other,,,
,,,delivery_shipping,1138363.0,@AmazonHelp But when I click on the order it says expected Nov 2-3. How is it out for delivery if the expected date is extended by two days?,
2347797.0,"@AmazonHelp Llevo todo el día esperando un paquete y acabo de recibir un paquete con dos cartones dentro, envío gestionado por Amazon.","@644773 Hola. Sentimos mucho lo sucedido. Por favor ponte en contacto con nuestro departamento de Servicio al Cliente, ellos tienen acceso a tu cuenta y podrán investigar más a fondo que ha pasado. Puedes hacerlo a través del siguiente enlace: https://",product_help,,,
225043.0,@AmazonHelp How many times do I have to do this?? U people are totally useless,@169762 the link shared here: https://t.co/NTkrxpsbHJ (2/2)^HR,other,,,
522448.0,@AmazonHelp i have a fire tv stick. i want to keep track of current and total space on it. wheres that feature at?,"@213865 Thanks for that clarification! You can view this under settings, through applications. ^HM",product_help,,,
,,,order_issue,1190178.0,"@AmazonHelp I ordered one device and gifted it to my friend, I have to buy one for me so I requested another invitation. it's now about a month. I didn't get any notification specifying that you are eligible to buy it or not.",1190180
,,,delivery_shipping,2600791.0,@AmazonHelp Sigh. My replacement fire game controllers are late and customer service is being so helpful. #notreally #ugh https://t.co/uBKrefKxUt,
,,,order_issue,2670761.0,@AmazonHelp I had promised other person only because of your trust that I will give that product to him in that price but I am shocked to see the way you cheat me,2670763
,,,delivery_shipping,1480136.0,"@AmazonHelp email just said package delay and refund my shipping charges. last tracker update on Oct 21, still at Amazon facility, Avenel",1480138
1616791.0,@AmazonHelp d'accord et si je precommande SWBF2 je doit payer la livraison ?,@215713 Tout dépend du mode de livraison choisi ^SN,order_issue,,,
,,,other,174505.0,@AmazonHelp hello guys I wanto ask you when I order a magazine what does single issue mean? a simple issue of the magazine,174504
,,,delivery_shipping,477746.0,Hey @8809 did you know @115821 ships your products as shown on the linked photo when buyer is not home ? @AmazonHelp 👏👍 https://t.co/h6UmVR91Tn,477744
,,,account_payment,2758621.0,"@AmazonHelp I still haven’t gotten my money or my account back, should I be concerned?",2758623
,,,other,2680867.0,@AmazonHelp Still no word from your team ..,
,,,other,2418365.0,@AmazonHelp Yes,2418367
,,,delivery_shipping,656080.0,@AmazonHelp Just deliver what I ordered when you promised. Stop lying about delivery. 3 emails. 3 no shows since Sunday and another today. Why should I pay 4 prime?,656079
1196334.0,@AmazonHelp I bought a fire stick and your remote broke. please help,@401091 Oh no! Can you tell us a little more about the issue Sebastian? ^BA,product_help,,,
